,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
86,20220405,3644,36,4325,25,60440101,42634591,70034383,33040309,743715930260,524301279740,860315291220,407701918780,12305.008065092412,12284.184629998097,12297.556220018623,12339.531049179957,-9594282.0
87,20220404,5566,50,6877,37,135988933,93957229,190478625,39467537,1681431563980,1160557255860,2357612797610,484376022230,12364.4735412403,12377.308989971973,12351.974065348393,12272.770460188585,-54489692.0
88,20220403,1430,15,4497,27,125318630,21571890,65873226,81017294,1523608591570,262765498370,798914872990,987459216950,12157.877815692687,12128.066613740762,12180.921484858303,12188.252263152606,59445404.0
89,20220330,1889,18,2197,12,22781834,12596854,29966988,5411700,264511463990,146301942190,347708022450,63105383730,11610.630820591528,11603.035395148821,11614.165107414914,11660.916852375409,-7185154.0
90,20220329,2674,21,3122,12,43214387,28581550,70098035,1697902,497865999220,328776408750,806885131020,19757276950,11520.839095091178,11510.809554361973,11503.099333311175,11636.288166219252,-26883648.0
91,20220328,2666,32,3305,12,50480517,8896328,47885186,11491659,593131991770,104370216800,562396539260,135105669310,11749.721021478445,11744.687370745516,11731.831020618843,11756.846362218022,2595331.0
92,20220327,3109,22,3934,24,57431205,28040104,74130538,11340771,668651746580,328552617000,864162626350,133041737230,11642.655705726529,11657.309519998358,11717.239600823164,11731.277990711566,-16699333.0
93,20220326,1797,24,3799,29,100736899,24612908,56920435,68429372,1151914958480,281695275380,648581499150,785028734710,11434.886024037727,11394.52815408034,11445.02207459598,11472.101990209701,43816464.0
94,20220319,1834,26,2410,14,41346889,12837393,38416615,15767667,451860943130,141018428040,420348381930,172530989240,10928.535472886484,10941.83810650678,10984.973977193033,10942.074641733618,2930274.0
95,20220316,1233,13,1785,16,28087748,3063408,19205833,11945323,299790604670,32702500720,204879844760,127613260630,10673.358528779167,10667.584413547696,10675.20249343215,10683.115109570499,8881915.0
96,20220315,981,20,1514,18,21413735,21210171,24763989,17859917,225177592330,223061677180,260402670250,187836599260,10515.568271018577,10515.37659179222,10516.73167462912,10517.215688068427,-3350254.0
97,20220314,905,18,1737,19,25088818,12309814,21631714,15766918,264071405480,129481522000,227637248060,165915679420,10525.462199135885,10523.310730716947,10518.56039417005,10523.025452406107,3457104.0
98,20220313,1273,21,1986,20,27356762,20746732,27175292,20928202,287506024670,217922599780,285394812900,220033811550,10509.504913995304,10501.996184622414,10503.948273877544,10513.746548795734,181470.0
99,20220312,1506,27,2513,21,34061863,22714884,41465001,15311746,356826980480,237745551560,434000159160,160572372880,10475.850380820333,10466.66221375468,10466.509604891666,10486.875427531257,-7403138.0
100,20220309,1796,20,2040,22,46464048,15931602,37395647,25000003,492529405470,168479183020,396371362510,264637225980,10600.225909503193,10599.398440946883,10575.15641051038,10585.487768941468,9068401.0
101,20220308,1715,25,2153,11,32478349,18227776,43374308,7331817,342052093110,191854644660,456544154720,77362583050,10531.69584174368,10525.681579058275,10525.400611681864,10551.624931446053,-10895959.0
102,20220307,2691,19,3219,15,58820725,15005678,56705170,17121233,631798049040,160873922120,609210839290,183461131870,10741.078914617254,10743.47963845272,10720.869934700719,10715.415873961882,2115555.0
103,20220306,2966,27,4441,38,122131365,46504151,67015330,101620186,1293738394350,492866599130,708175396550,1078429596930,10593.006918001776,10567.364162050682,10598.335600837008,10612.356062111518,55116035.0
104,20220305,2388,28,2635,15,50066620,16007208,39121491,26952337,509373038170,162903159180,398139673550,274136523800,10173.905052308304,10177.006636838049,10176.862772071181,10171.159695725088,10945129.0
105,20220302,1937,22,1519,14,23376058,2174718,18328613,7222163,235277744010,21896342570,184441573620,72732512960,10064.902474574626,10063.040428645638,10068.58938492255,10070.738220668794,5047445.0
106,20220228,2198,11,1632,20,34707629,3411804,21633247,16486186,350848987390,34411943020,218476851380,166784079030,10108.69936952478,10099.124342268176,10086.142996491006,10116.59573839577,13074382.0
107,20220227,2541,19,1452,9,26267662,6028593,17890060,14406195,264103291240,60547965450,179996225830,144655030860,10054.312836825751,10061.242155140899,10043.465440443566,10041.16845981885,8377602.0
108,20220226,2038,23,1798,10,18795454,24915842,23524549,20186747,191312951650,256104002510,240921586850,206495367310,10178.682124411573,10241.283981682285,10278.761701490963,10229.254238436733,-4729095.0
109,20220223,1000,6,1557,23,14530347,29449619,21858264,22121702,151235141460,306284262390,227427408150,230091995700,10408.226414689201,10404.641839351927,10400.279283409405,10401.188647238807,-7327917.0
110,20220222,949,4,1909,31,8612572,55035172,28413179,35234565,89621264590,572345257610,295473189330,366493332870,10405.86535473956,10399.159816999007,10399.626944202155,10401.528523766365,-19800607.0
111,20220221,2507,15,1881,9,28557456,12291416,35166833,5682039,295837505460,127531853620,364405455270,58963903810,10359.37884172876,10362.191422525879,10375.684430500114,10377.243769358147,-6609377.0
112,20220220,717,5,2071,26,15404913,53499829,35426362,33478380,161723222180,561182066990,371692738740,351212550430,10498.15874844603,10491.981613579175,10489.41795664431,10490.727162724123,-20021449.0
113,20220219,892,15,2508,27,6923130,87052612,56574959,37400783,72643182060,913135845510,593432303900,392346723670,10492.823630352168,10489.31036609324,10489.470959355016,10490.334484975889,-49651829.0
114,20220216,1121,5,2004,17,16638373,36834142,28038889,25433626,174773605140,386120221460,294158951300,266734875300,10504.248530790841,10491.105810219513,10482.671795640033,10487.489094162192,-11400516.0
115,20220214,1511,9,2529,28,48074444,16845704,37857475,27062673,503891770290,176209108180,396635729230,283465149240,10481.48929793135,10477.078284539579,10460.180719072352,10474.395830744435,10216969.0
116,20220213,633,9,1844,12,6105347,49925385,44021084,12009648,62319139180,510431974970,449948320800,122802793350,10207.305036061014,10221.20038661474,10223.896620326514,10225.344935172121,-37915737.0
117,20220212,1247,11,1967,10,15209614,19320459,26688628,7841445,156207591240,198175431790,274028373730,80354649300,10270.319236240972,10267.608126202666,10257.283835233935,10247.428796605727,-11479014.0
118,20220209,1629,13,3857,24,28645268,32672609,47970891,13346986,295675029040,337471414130,494641002130,138505441040,10321.950174807233,10311.274020947412,10328.878668061066,10377.282259830046,-19325623.0
